Device Name,Hostname,SysName,Reset Reason,Config Register,Type,Image Name,IP Address,Software Type,Software Version,Product ID,CBP Alerts,FN Vulnerable Alerts,Hardware EoX Alerts,PSIRT Vulnerable Alerts,Software Alerts
SITE24-DIA-02,SITE24-DIA-R2,SITE24-DIA-R2.net.com,PowerOn,0x2102,Managed Chassis,X86_64_LINUX_IOSD-UNIVERSALK9-M,192.168.230.18,IOS-XE,17.9.5a,C8500-12X4QC,19,2,0,4,1
SITE24-Ring-A,SITE24-DF-R1,SITE24-DF-R1.net.com,PowerOn,0x2102,Managed Chassis,X86_64_LINUX_IOSD-UNIVERSALK9-M,192.168.230.91,IOS-XE,17.9.5a,C8500-12X4QC,21,2,0,4,1
SITE24-Ring-B,SITE24-DF-R2,SITE24-DF-R2.net.com,PowerOn,0x2102,Managed Chassis,X86_64_LINUX_IOSD-UNIVERSALK9-M,192.168.230.92,IOS-XE,17.9.5a,C8500-12X4QC,23,2,0,4,1
SITE26-DIA-02,SITE26-DIA-R2,SITE26-DIA-R2.net.com,PowerOn,0x2102,Managed Chassis,X86_64_LINUX_IOSD-UNIVERSALK9-M,192.168.12.13,IOS-XE,17.9.5a,C8500-12X4QC,20,2,0,4,1
SITE06-3RD-94SW-01.net.com,SITE06-3RD-94SW-01,SITE06-3RD-94SW-01.net.com,PowerOn,null,Managed Chassis,CAT9K_IOSXE,192.168.30.14,IOS-XE,17.6.4,C9410R,19,3,2,7,1
SITE06-4TH-94SW-01.net.com,SITE06-4TH-94SW-01,SITE06-4TH-94SW-01.net.com,PowerOn,null,Managed Chassis,CAT9K_IOSXE,192.168.30.15,IOS-XE,17.6.4,C9410R,18,3,2,7,1
SITE50-1IDF2-94SW-01.net.com,SITE50-1IDF2-94SW-01,SITE50-1IDF2-94SW-01.net.com,PowerOn,null,Managed Chassis,CAT9K_IOSXE,192.168.23.12,IOS-XE,17.9.5,C9410R,19,1,1,4,1
SITE50-1MDF1-94SW-01.net.com,SITE50-1MDF1-94SW-01,SITE50-1MDF1-94SW-01.net.com,PowerOn,null,Managed Chassis,CAT9K_IOSXE,192.168.23.11,IOS-XE,17.9.5,C9410R,19,1,1,4,1
SITE50-1ST-CORE-95SW-01.net.com,SITE50-1ST-CORE-95SW-01,SITE50-1ST-CORE-95SW-01.net.com,PowerOn,null,Managed Multi-Chassis,CAT9K_IOSXE,192.168.23.9,IOS-XE,17.9.5,C9500-48Y4C,25,2,1,5,1
SITE50-2IDF1-94SW-01.net.com,SITE50-2IDF1-94SW-01,SITE50-2IDF1-94SW-01.net.com,PowerOn,null,Managed Chassis,CAT9K_IOSXE,192.168.23.13,IOS-XE,17.9.5,C9410R,19,1,1,4,1
